Questions,RESPONSES
what are the dos and don’ts about where is e-lib?,e-libary is in the front of the admin.
can you tell me where is e-lib in detail?,e-libary is in the front of the admin.
where is medical room?,the medical room is situated on the left side of the e-library.
could you explain where is medical room?,the medical room is situated on the left side of the e-library.
what guidelines should i follow regarding where is medical room?,the medical room is situated on the left side of the e-library.
what are the dos and don’ts about where is medical room?,the medical room is situated on the left side of the e-library.
can you tell me where is medical room in detail?,the medical room is situated on the left side of the e-library.
can i come to college with some different bag?,no you are not allowed to bring any other bag inside college if caught you will have to pay fine
could you explain can i come to college with some different bag??,no you are not allowed to bring any other bag inside college if caught you will have to pay fine
what guidelines should i follow regarding can i come to college with some different bag??,no you are not allowed to bring any other bag inside college if caught you will have to pay fine
what are the dos and don’ts about can i come to college with some different bag??,no you are not allowed to bring any other bag inside college if caught you will have to pay fine
can you tell me can i come to college with some different bag? in detail?,no you are not allowed to bring any other bag inside college if caught you will have to pay fine
can i go outside the college at some other time?,"no you cannot move out of college at other time , but in case if there is any emergency you can go but have to follow certain guidelines"
could you explain can i go outside the college at some other time?,"no you cannot move out of college at other time , but in case if there is any emergency you can go but have to follow certain guidelines"
what guidelines should i follow regarding can i go outside the college at some other time?,"no you cannot move out of college at other time , but in case if there is any emergency you can go but have to follow certain guidelines"
what are the dos and don’ts about can i go outside the college at some other time?,"no you cannot move out of college at other time , but in case if there is any emergency you can go but have to follow certain guidelines"
can you tell me can i go outside the college at some other time in detail?,"no you cannot move out of college at other time , but in case if there is any emergency you can go but have to follow certain guidelines"
if there is an emergency what should i do if i have to move out of college?,you have to write an application and get it signed with your hod or chief proctor
could you explain if there is an emergency what should i do if i have to move out of college?,you have to write an application and get it signed with your hod or chief proctor
what guidelines should i follow regarding if there is an emergency what should i do if i have to move out of college?,you have to write an application and get it signed with your hod or chief proctor
what are the dos and don’ts about if there is an emergency what should i do if i have to move out of college?,you have to write an application and get it signed with your hod or chief proctor
can you tell me if there is an emergency what should i do if i have to move out of college in detail?,you have to write an application and get it signed with your hod or chief proctor
how to come in presidential team of abhiruchi?,you have not to be in first year rest you can give interview
could you explain how to come in presidential team of abhiruchi?,you have not to be in first year rest you can give interview
what guidelines should i follow regarding how to come in presidential team of abhiruchi?,you have not to be in first year rest you can give interview
what are the dos and don’ts about how to come in presidential team of abhiruchi?,you have not to be in first year rest you can give interview
can you tell me how to come in presidential team of abhiruchi in detail?,you have not to be in first year rest you can give interview
where is abhiruchi office?,the abhiruchi office is located at the right side of the entrance in the ab1 building.
could you explain where is abhiruchi office?,the abhiruchi office is located at the right side of the entrance in the ab1 building.
what guidelines should i follow regarding where is abhiruchi office?,the abhiruchi office is located at the right side of the entrance in the ab1 building.
what are the dos and don’ts about where is abhiruchi office?,the abhiruchi office is located at the right side of the entrance in the ab1 building.
can you tell me where is abhiruchi office in detail?,the abhiruchi office is located at the right side of the entrance in the ab1 building.
to whom should i complaint if i am not getting seat in the bus?,"to transport incharge , you can tell all your complaints to him related to bus"
could you explain to whom should i complaint if i am not getting seat in the bus?,"to transport incharge , you can tell all your complaints to him related to bus"
what guidelines should i follow regarding to whom should i complaint if i am not getting seat in the bus?,"to transport incharge , you can tell all your complaints to him related to bus"
what are the dos and don’ts about to whom should i complaint if i am not getting seat in the bus?,"to transport incharge , you can tell all your complaints to him related to bus"
can you tell me to whom should i complaint if i am not getting seat in the bus in detail?,"to transport incharge , you can tell all your complaints to him related to bus"
where is washromm in (ab1 - ab3)block?,in ab3 block girls washroom is on ground floor on right side where block ends whereas boys washroom is on left side of ground floor
could you explain where is washromm in (ab1 - ab3)block??,in ab3 block girls washroom is on ground floor on right side where block ends whereas boys washroom is on left side of ground floor
what guidelines should i follow regarding where is washromm in (ab1 - ab3)block??,in ab3 block girls washroom is on ground floor on right side where block ends whereas boys washroom is on left side of ground floor
what are the dos and don’ts about where is washromm in (ab1 - ab3)block??,in ab3 block girls washroom is on ground floor on right side where block ends whereas boys washroom is on left side of ground floor
can you tell me where is washromm in (ab1 - ab3)block? in detail?,in ab3 block girls washroom is on ground floor on right side where block ends whereas boys washroom is on left side of ground floor
is there smart classes at invertis?,yess all classes have digital smart board which makes them smart classes
could you explain is there smart classes at invertis?,yess all classes have digital smart board which makes them smart classes
what guidelines should i follow regarding is there smart classes at invertis?,yess all classes have digital smart board which makes them smart classes
what are the dos and don’ts about is there smart classes at invertis?,yess all classes have digital smart board which makes them smart classes
can you tell me is there smart classes at invertis in detail?,yess all classes have digital smart board which makes them smart classes
where should i go i want to change my course also can i do that?,yes you can do that you have to go to admin if you want to change your course but you can do that in 1st year only
could you explain where should i go i want to change my course also can i do that?,yes you can do that you have to go to admin if you want to change your course but you can do that in 1st year only
what guidelines should i follow regarding where should i go i want to change my course also can i do that?,yes you can do that you have to go to admin if you want to change your course but you can do that in 1st year only
what are the dos and don’ts about where should i go i want to change my course also can i do that?,yes you can do that you have to go to admin if you want to change your course but you can do that in 1st year only
can you tell me where should i go i want to change my course also can i do that in detail?,yes you can do that you have to go to admin if you want to change your course but you can do that in 1st year only
where is auditorium?,the auditorium is located near the boys’ hostel and ab-6.
could you explain where is auditorium?,the auditorium is located near the boys’ hostel and ab-6.
what guidelines should i follow regarding where is auditorium?,the auditorium is located near the boys’ hostel and ab-6.
what are the dos and don’ts about where is auditorium?,the auditorium is located near the boys’ hostel and ab-6.
can you tell me where is auditorium in detail?,the auditorium is located near the boys’ hostel and ab-6.
is there air conditioner in my class?,"yes , in invertis all classes are fully air conditioned."
could you explain is there air conditioner in my class?,"yes , in invertis all classes are fully air conditioned."
what guidelines should i follow regarding is there air conditioner in my class?,"yes , in invertis all classes are fully air conditioned."
what are the dos and don’ts about is there air conditioner in my class?,"yes , in invertis all classes are fully air conditioned."
can you tell me is there air conditioner in my class in detail?,"yes , in invertis all classes are fully air conditioned."
what is invertia ? how can i participate?,"invertia is one of the major event of the year , to participate you have to be active and follow the instructions or scan the qr posted by abhiruchi before the event"
could you explain what is invertia ? how can i participate?,"invertia is one of the major event of the year , to participate you have to be active and follow the instructions or scan the qr posted by abhiruchi before the event"
what guidelines should i follow regarding what is invertia ? how can i participate?,"invertia is one of the major event of the year , to participate you have to be active and follow the instructions or scan the qr posted by abhiruchi before the event"
what are the dos and don’ts about what is invertia ? how can i participate?,"invertia is one of the major event of the year , to participate you have to be active and follow the instructions or scan the qr posted by abhiruchi before the event"
can you tell me what is invertia ? how can i participate in detail?,"invertia is one of the major event of the year , to participate you have to be active and follow the instructions or scan the qr posted by abhiruchi before the event"
what is tedx ? how can i participate?,"tedx is the event which is held once in a year , to participate you have to be active and follow the instructions or scan the qr posted by abhiruchi before the event."
could you explain what is tedx ? how can i participate?,"tedx is the event which is held once in a year , to participate you have to be active and follow the instructions or scan the qr posted by abhiruchi before the event."
what guidelines should i follow regarding what is tedx ? how can i participate?,"tedx is the event which is held once in a year , to participate you have to be active and follow the instructions or scan the qr posted by abhiruchi before the event."
what are the dos and don’ts about what is tedx ? how can i participate?,"tedx is the event which is held once in a year , to participate you have to be active and follow the instructions or scan the qr posted by abhiruchi before the event."
can you tell me what is tedx ? how can i participate in detail?,"tedx is the event which is held once in a year , to participate you have to be active and follow the instructions or scan the qr posted by abhiruchi before the event."
can i do any internship in this college?,"yes, there are certain internships offered by the college to the students."
could you explain can i do any internship in this college?,"yes, there are certain internships offered by the college to the students."
what guidelines should i follow regarding can i do any internship in this college?,"yes, there are certain internships offered by the college to the students."
what are the dos and don’ts about can i do any internship in this college?,"yes, there are certain internships offered by the college to the students."
can you tell me can i do any internship in this college in detail?,"yes, there are certain internships offered by the college to the students."
what is the work of cr/dc?,"the cr (class representative) is responsible for managing all class-related activities, while the dc (discipline coordinator) ensures that the decorum of the class is maintained."
could you explain what is the work of cr/dc?,"the cr (class representative) is responsible for managing all class-related activities, while the dc (discipline coordinator) ensures that the decorum of the class is maintained."
what guidelines should i follow regarding what is the work of cr/dc?,"the cr (class representative) is responsible for managing all class-related activities, while the dc (discipline coordinator) ensures that the decorum of the class is maintained."
what are the dos and don’ts about what is the work of cr/dc?,"the cr (class representative) is responsible for managing all class-related activities, while the dc (discipline coordinator) ensures that the decorum of the class is maintained."
can you tell me what is the work of cr/dc in detail?,"the cr (class representative) is responsible for managing all class-related activities, while the dc (discipline coordinator) ensures that the decorum of the class is maintained."
are there any perks of becoming cr or dc?,they both get certificate after the completion of their work cycle also they receive some amount of coupons.
could you explain are there any perks of becoming cr or dc?,they both get certificate after the completion of their work cycle also they receive some amount of coupons.
what guidelines should i follow regarding are there any perks of becoming cr or dc?,they both get certificate after the completion of their work cycle also they receive some amount of coupons.
what are the dos and don’ts about are there any perks of becoming cr or dc?,they both get certificate after the completion of their work cycle also they receive some amount of coupons.
can you tell me are there any perks of becoming cr or dc in detail?,they both get certificate after the completion of their work cycle also they receive some amount of coupons.
where is the examination department?,"the examination department is on the top floor of the workshop building, on the left side."
could you explain where is the examination department?,"the examination department is on the top floor of the workshop building, on the left side."
what guidelines should i follow regarding where is the examination department?,"the examination department is on the top floor of the workshop building, on the left side."
what are the dos and don’ts about where is the examination department?,"the examination department is on the top floor of the workshop building, on the left side."
can you tell me where is the examination department in detail?,"the examination department is on the top floor of the workshop building, on the left side."
who is chancellor of this college? where is his office?,"dr. umesh gautam is the chancellor of invertis university, also the mayor of bareilly, and his office is in the admin block."
could you explain who is chancellor of this college? where is his office?,"dr. umesh gautam is the chancellor of invertis university, also the mayor of bareilly, and his office is in the admin block."
what guidelines should i follow regarding who is chancellor of this college? where is his office?,"dr. umesh gautam is the chancellor of invertis university, also the mayor of bareilly, and his office is in the admin block."
what are the dos and don’ts about who is chancellor of this college? where is his office?,"dr. umesh gautam is the chancellor of invertis university, also the mayor of bareilly, and his office is in the admin block."
can you tell me who is chancellor of this college? where is his office in detail?,"dr. umesh gautam is the chancellor of invertis university, also the mayor of bareilly, and his office is in the admin block."
who is mr.parth gautam and mrs.sonal gautam?,"mr. parth gautam is the executive director at invertis university , mrs. sonal gautam is the treasurer at invertis university"
could you explain who is mr.parth gautam and mrs.sonal gautam?,"mr. parth gautam is the executive director at invertis university , mrs. sonal gautam is the treasurer at invertis university"
what guidelines should i follow regarding who is mr.parth gautam and mrs.sonal gautam?,"mr. parth gautam is the executive director at invertis university , mrs. sonal gautam is the treasurer at invertis university"
what are the dos and don’ts about who is mr.parth gautam and mrs.sonal gautam?,"mr. parth gautam is the executive director at invertis university , mrs. sonal gautam is the treasurer at invertis university"
can you tell me who is mr.parth gautam and mrs.sonal gautam in detail?,"mr. parth gautam is the executive director at invertis university , mrs. sonal gautam is the treasurer at invertis university"
where is record room?,record room is in ab-6 block.
could you explain where is record room?,record room is in ab-6 block.
what guidelines should i follow regarding where is record room?,record room is in ab-6 block.
what are the dos and don’ts about where is record room?,record room is in ab-6 block.
can you tell me where is record room in detail?,record room is in ab-6 block.
where should i go if i have to make changes in my details like if i have to change my e-mail id or anything else?,"if you are in first year you can go in admin if not in year or if problem not solved in admin then go to record room , they will do the changes for you"
could you explain where should i go if i have to make changes in my details like if i have to change my e-mail id or anything else?,"if you are in first year you can go in admin if not in year or if problem not solved in admin then go to record room , they will do the changes for you"
what guidelines should i follow regarding where should i go if i have to make changes in my details like if i have to change my e-mail id or anything else?,"if you are in first year you can go in admin if not in year or if problem not solved in admin then go to record room , they will do the changes for you"
what are the dos and don’ts about where should i go if i have to make changes in my details like if i have to change my e-mail id or anything else?,"if you are in first year you can go in admin if not in year or if problem not solved in admin then go to record room , they will do the changes for you"
can you tell me where should i go if i have to make changes in my details like if i have to change my e-mail id or anything else in detail?,"if you are in first year you can go in admin if not in year or if problem not solved in admin then go to record room , they will do the changes for you"
can i get mexican taco or pizza in cafeteria?,yes mexican taco is available in uv/ ab3 block cafeteria
could you explain can i get mexican taco or pizza in cafeteria?,yes mexican taco is available in uv/ ab3 block cafeteria
what guidelines should i follow regarding can i get mexican taco or pizza in cafeteria?,yes mexican taco is available in uv/ ab3 block cafeteria
what are the dos and don’ts about can i get mexican taco or pizza in cafeteria?,yes mexican taco is available in uv/ ab3 block cafeteria
can you tell me can i get mexican taco or pizza in cafeteria in detail?,yes mexican taco is available in uv/ ab3 block cafeteria
what all sports are there in stride club?,"stride is a committee under abhiruchi that organizes all sports events. it hosts a variety of sports, including football, basketball, cricket, chess, and many others"
could you explain what all sports are there in stride club?,"stride is a committee under abhiruchi that organizes all sports events. it hosts a variety of sports, including football, basketball, cricket, chess, and many others"
what guidelines should i follow regarding what all sports are there in stride club?,"stride is a committee under abhiruchi that organizes all sports events. it hosts a variety of sports, including football, basketball, cricket, chess, and many others"
what are the dos and don’ts about what all sports are there in stride club?,"stride is a committee under abhiruchi that organizes all sports events. it hosts a variety of sports, including football, basketball, cricket, chess, and many others"
can you tell me what all sports are there in stride club in detail?,"stride is a committee under abhiruchi that organizes all sports events. it hosts a variety of sports, including football, basketball, cricket, chess, and many others"
how can i get previous year questions?,"to get previous year questions , go to library it depends on your course that in which library you have to go"
could you explain how can i get previous year questions?,"to get previous year questions , go to library it depends on your course that in which library you have to go"
what guidelines should i follow regarding how can i get previous year questions?,"to get previous year questions , go to library it depends on your course that in which library you have to go"
what are the dos and don’ts about how can i get previous year questions?,"to get previous year questions , go to library it depends on your course that in which library you have to go"
can you tell me how can i get previous year questions in detail?,"to get previous year questions , go to library it depends on your course that in which library you have to go"
is there any attendance criteria or anything?,"yes you have to maintain 75% attendance , to give your mid terms , also if you have less attendance then your marks will be deducted in your semester exams"
could you explain is there any attendance criteria or anything?,"yes you have to maintain 75% attendance , to give your mid terms , also if you have less attendance then your marks will be deducted in your semester exams"
what guidelines should i follow regarding is there any attendance criteria or anything?,"yes you have to maintain 75% attendance , to give your mid terms , also if you have less attendance then your marks will be deducted in your semester exams"
what are the dos and don’ts about is there any attendance criteria or anything?,"yes you have to maintain 75% attendance , to give your mid terms , also if you have less attendance then your marks will be deducted in your semester exams"
can you tell me is there any attendance criteria or anything in detail?,"yes you have to maintain 75% attendance , to give your mid terms , also if you have less attendance then your marks will be deducted in your semester exams"
what are college timings?,"college timings are from 9:00 am to 5:00 pm , but usually for most of the courses classes get over at 3:00pm."
could you explain what are college timings?,"college timings are from 9:00 am to 5:00 pm , but usually for most of the courses classes get over at 3:00pm."
what guidelines should i follow regarding what are college timings?,"college timings are from 9:00 am to 5:00 pm , but usually for most of the courses classes get over at 3:00pm."
what are the dos and don’ts about what are college timings?,"college timings are from 9:00 am to 5:00 pm , but usually for most of the courses classes get over at 3:00pm."
can you tell me what are college timings in detail?,"college timings are from 9:00 am to 5:00 pm , but usually for most of the courses classes get over at 3:00pm."
is there any scholorship exam ?,"yes, you can appear for iucet at the time of admission, and based on your performance, you will be eligible to receive a scholarship."
could you explain is there any scholorship exam?,"yes, you can appear for iucet at the time of admission, and based on your performance, you will be eligible to receive a scholarship."
what guidelines should i follow regarding is there any scholorship exam?,"yes, you can appear for iucet at the time of admission, and based on your performance, you will be eligible to receive a scholarship."
what are the dos and don’ts about is there any scholorship exam?,"yes, you can appear for iucet at the time of admission, and based on your performance, you will be eligible to receive a scholarship."
can you tell me is there any scholorship exam in detail?,"yes, you can appear for iucet at the time of admission, and based on your performance, you will be eligible to receive a scholarship."
how to book seminar halls for an event ? also can i book auditorium as well if yes then how?,"yes, you can book seminar halls or the auditorium if you wish to conduct an informative, educational, or university-beneficial event. for this, you need to write an application and submit it along with the required fee to the concerned university authorities for approval."
could you explain how to book seminar halls for an event ? also can i book auditorium as well if yes then how?,"yes, you can book seminar halls or the auditorium if you wish to conduct an informative, educational, or university-beneficial event. for this, you need to write an application and submit it along with the required fee to the concerned university authorities for approval."
what guidelines should i follow regarding how to book seminar halls for an event ? also can i book auditorium as well if yes then how?,"yes, you can book seminar halls or the auditorium if you wish to conduct an informative, educational, or university-beneficial event. for this, you need to write an application and submit it along with the required fee to the concerned university authorities for approval."
what are the dos and don’ts about how to book seminar halls for an event ? also can i book auditorium as well if yes then how?,"yes, you can book seminar halls or the auditorium if you wish to conduct an informative, educational, or university-beneficial event. for this, you need to write an application and submit it along with the required fee to the concerned university authorities for approval."
can you tell me how to book seminar halls for an event ? also can i book auditorium as well if yes then how in detail?,"yes, you can book seminar halls or the auditorium if you wish to conduct an informative, educational, or university-beneficial event. for this, you need to write an application and submit it along with the required fee to the concerned university authorities for approval."
can i access wi-fi of the college ?,yes you can access the wi-fi in the college.
could you explain can i access wi-fi of the college?,yes you can access the wi-fi in the college.
what guidelines should i follow regarding can i access wi-fi of the college?,yes you can access the wi-fi in the college.
what are the dos and don’ts about can i access wi-fi of the college?,yes you can access the wi-fi in the college.
can you tell me can i access wi-fi of the college in detail?,yes you can access the wi-fi in the college.
timings of library?,library remains open for all from 9:00 am to 5:00 pm
could you explain timings of library?,library remains open for all from 9:00 am to 5:00 pm
what guidelines should i follow regarding timings of library?,library remains open for all from 9:00 am to 5:00 pm
what are the dos and don’ts about timings of library?,library remains open for all from 9:00 am to 5:00 pm
can you tell me timings of library in detail?,library remains open for all from 9:00 am to 5:00 pm
what is the process of issuing the book from library?,"library card is issued to all the students of the university , a student can issue a book for 1 week ."
could you explain what is the process of issuing the book from library?,"library card is issued to all the students of the university , a student can issue a book for 1 week ."
what guidelines should i follow regarding what is the process of issuing the book from library?,"library card is issued to all the students of the university , a student can issue a book for 1 week ."
what are the dos and don’ts about what is the process of issuing the book from library?,"library card is issued to all the students of the university , a student can issue a book for 1 week ."
can you tell me what is the process of issuing the book from library in detail?,"library card is issued to all the students of the university , a student can issue a book for 1 week ."
how to apply for marksheet ?,"to apply for a marksheet, visit the examination department — it is issued within a week after applying."
could you explain how to apply for marksheet?,"to apply for a marksheet, visit the examination department — it is issued within a week after applying."
what guidelines should i follow regarding how to apply for marksheet?,"to apply for a marksheet, visit the examination department — it is issued within a week after applying."
what are the dos and don’ts about how to apply for marksheet?,"to apply for a marksheet, visit the examination department — it is issued within a week after applying."
can you tell me how to apply for marksheet in detail?,"to apply for a marksheet, visit the examination department — it is issued within a week after applying."
tell me all about crc department?,"corporate resource centre , the crc has been responsible for ensuring successful job placements in numerous renowned indian and international companies. it is a dedicated placement team performs an array of functions to guide students for their placements and bring them closer to industry."
could you explain tell me all about crc department?,"corporate resource centre , the crc has been responsible for ensuring successful job placements in numerous renowned indian and international companies. it is a dedicated placement team performs an array of functions to guide students for their placements and bring them closer to industry."
what guidelines should i follow regarding tell me all about crc department?,"corporate resource centre , the crc has been responsible for ensuring successful job placements in numerous renowned indian and international companies. it is a dedicated placement team performs an array of functions to guide students for their placements and bring them closer to industry."
what are the dos and don’ts about tell me all about crc department?,"corporate resource centre , the crc has been responsible for ensuring successful job placements in numerous renowned indian and international companies. it is a dedicated placement team performs an array of functions to guide students for their placements and bring them closer to industry."
can you tell me tell me all about crc department in detail?,"corporate resource centre , the crc has been responsible for ensuring successful job placements in numerous renowned indian and international companies. it is a dedicated placement team performs an array of functions to guide students for their placements and bring them closer to industry."
what all facilities will i be getting in insurance fees?,"treatment is available at mission if you have insurance, covering up to ₹5,000."
could you explain what all facilities will i be getting in insurance fees?,"treatment is available at mission if you have insurance, covering up to ₹5,000."
what guidelines should i follow regarding what all facilities will i be getting in insurance fees?,"treatment is available at mission if you have insurance, covering up to ₹5,000."
what are the dos and don’ts about what all facilities will i be getting in insurance fees?,"treatment is available at mission if you have insurance, covering up to ₹5,000."
can you tell me what all facilities will i be getting in insurance fees in detail?,"treatment is available at mission if you have insurance, covering up to ₹5,000."
can we book a cafeteria for any party or something?,"no till now there is no facility , you cannot book cafeteria or any table in advance"
could you explain can we book a cafeteria for any party or something?,"no till now there is no facility , you cannot book cafeteria or any table in advance"
what guidelines should i follow regarding can we book a cafeteria for any party or something?,"no till now there is no facility , you cannot book cafeteria or any table in advance"
what are the dos and don’ts about can we book a cafeteria for any party or something?,"no till now there is no facility , you cannot book cafeteria or any table in advance"
can you tell me can we book a cafeteria for any party or something in detail?,"no till now there is no facility , you cannot book cafeteria or any table in advance"
is there any buffet system ?,no there is no buffet system this system usually available in a restaurants since this is just a cafeteria so no such thing available
could you explain is there any buffet system?,no there is no buffet system this system usually available in a restaurants since this is just a cafeteria so no such thing available
what guidelines should i follow regarding is there any buffet system?,no there is no buffet system this system usually available in a restaurants since this is just a cafeteria so no such thing available
what are the dos and don’ts about is there any buffet system?,no there is no buffet system this system usually available in a restaurants since this is just a cafeteria so no such thing available
can you tell me is there any buffet system in detail?,no there is no buffet system this system usually available in a restaurants since this is just a cafeteria so no such thing available
how's the quality of food?,quality of food depends on your taste overall its good
could you explain how's the quality of food?,quality of food depends on your taste overall its good
what guidelines should i follow regarding how's the quality of food?,quality of food depends on your taste overall its good
what are the dos and don’ts about how's the quality of food?,quality of food depends on your taste overall its good
can you tell me how's the quality of food in detail?,quality of food depends on your taste overall its good
if not the whole cafe can we book a table for limited amount of time for sort of birthday celebration?,"no, the café is not available for private bookings. it is a common space meant for all students, so tables cannot be reserved for personal celebrations."
could you explain if not the whole cafe can we book a table for limited amount of time for sort of birthday celebration?,"no, the café is not available for private bookings. it is a common space meant for all students, so tables cannot be reserved for personal celebrations."
what guidelines should i follow regarding if not the whole cafe can we book a table for limited amount of time for sort of birthday celebration?,"no, the café is not available for private bookings. it is a common space meant for all students, so tables cannot be reserved for personal celebrations."
what are the dos and don’ts about if not the whole cafe can we book a table for limited amount of time for sort of birthday celebration?,"no, the café is not available for private bookings. it is a common space meant for all students, so tables cannot be reserved for personal celebrations."
can you tell me if not the whole cafe can we book a table for limited amount of time for sort of birthday celebration in detail?,"no, the café is not available for private bookings. it is a common space meant for all students, so tables cannot be reserved for personal celebrations."
for whom there are sofas in cafeteria can i sit on them?,"no, students are not allowed to sit on the sofas as they are reserved for faculty members and visitors. if a student is found sitting there, a fine will be imposed."""
could you explain for whom there are sofas in cafeteria can i sit on them?,"no, students are not allowed to sit on the sofas as they are reserved for faculty members and visitors. if a student is found sitting there, a fine will be imposed."""
what guidelines should i follow regarding for whom there are sofas in cafeteria can i sit on them?,"no, students are not allowed to sit on the sofas as they are reserved for faculty members and visitors. if a student is found sitting there, a fine will be imposed."""
what are the dos and don’ts about for whom there are sofas in cafeteria can i sit on them?,"no, students are not allowed to sit on the sofas as they are reserved for faculty members and visitors. if a student is found sitting there, a fine will be imposed."""
can you tell me for whom there are sofas in cafeteria can i sit on them in detail?,"no, students are not allowed to sit on the sofas as they are reserved for faculty members and visitors. if a student is found sitting there, a fine will be imposed."""
how to play songs in the speaker of cafeteria?,"you may connect your phone to the speaker, but only if no one has any objection and it does not cause any disturbance."
could you explain how to play songs in the speaker of cafeteria?,"you may connect your phone to the speaker, but only if no one has any objection and it does not cause any disturbance."
what guidelines should i follow regarding how to play songs in the speaker of cafeteria?,"you may connect your phone to the speaker, but only if no one has any objection and it does not cause any disturbance."
what are the dos and don’ts about how to play songs in the speaker of cafeteria?,"you may connect your phone to the speaker, but only if no one has any objection and it does not cause any disturbance."
can you tell me how to play songs in the speaker of cafeteria in detail?,"you may connect your phone to the speaker, but only if no one has any objection and it does not cause any disturbance."
my attendance is not showing on erp correctly. what should i do?,contact your hod. they have access to update erp entries.
could you explain my attendance is not showing on erp correctly. what should i do?,contact your hod. they have access to update erp entries.
what guidelines should i follow regarding my attendance is not showing on erp correctly. what should i do?,contact your hod. they have access to update erp entries.
what are the dos and don’ts about my attendance is not showing on erp correctly. what should i do?,contact your hod. they have access to update erp entries.
can you tell me my attendance is not showing on erp correctly. what should i do in detail?,contact your hod. they have access to update erp entries.
"i was marked absent in few lectures, though i was present, whom should i contact?","first contact the subject teacher. if still not updated, escalate to the hod."
"could you explain i was marked absent in few lectures, though i was present, whom should i contact?","first contact the subject teacher. if still not updated, escalate to the hod."
"what guidelines should i follow regarding i was marked absent in few lectures, though i was present, whom should i contact?","first contact the subject teacher. if still not updated, escalate to the hod."
"what are the dos and don’ts about i was marked absent in few lectures, though i was present, whom should i contact?","first contact the subject teacher. if still not updated, escalate to the hod."
"can you tell me i was marked absent in few lectures, though i was present, whom should i contact in detail?","first contact the subject teacher. if still not updated, escalate to the hod."
how can i update my mobile number?,"for correction of mobile number, visit your hod. he may ask for an application or directly process the change depending on the case."
could you explain how can i update my mobile number?,"for correction of mobile number, visit your hod. he may ask for an application or directly process the change depending on the case."
what guidelines should i follow regarding how can i update my mobile number?,"for correction of mobile number, visit your hod. he may ask for an application or directly process the change depending on the case."
what are the dos and don’ts about how can i update my mobile number?,"for correction of mobile number, visit your hod. he may ask for an application or directly process the change depending on the case."
can you tell me how can i update my mobile number in detail?,"for correction of mobile number, visit your hod. he may ask for an application or directly process the change depending on the case."
how can i change my address?,"for correction of address, visit your hod. he may ask for an application or directly process the change depending on the case."
could you explain how can i change my address?,"for correction of address, visit your hod. he may ask for an application or directly process the change depending on the case."
what guidelines should i follow regarding how can i change my address?,"for correction of address, visit your hod. he may ask for an application or directly process the change depending on the case."
what are the dos and don’ts about how can i change my address?,"for correction of address, visit your hod. he may ask for an application or directly process the change depending on the case."
can you tell me how can i change my address in detail?,"for correction of address, visit your hod. he may ask for an application or directly process the change depending on the case."
"i made a payment, but it is not updated in erp. what should i do?","contact the fee submission department. show your payment receipt/screenshot (if paid online) to any teacher in that department. they will verify and update it, after which your fee status will reflect on erp."
"could you explain i made a payment, but it is not updated in erp. what should i do?","contact the fee submission department. show your payment receipt/screenshot (if paid online) to any teacher in that department. they will verify and update it, after which your fee status will reflect on erp."
"what guidelines should i follow regarding i made a payment, but it is not updated in erp. what should i do?","contact the fee submission department. show your payment receipt/screenshot (if paid online) to any teacher in that department. they will verify and update it, after which your fee status will reflect on erp."
"what are the dos and don’ts about i made a payment, but it is not updated in erp. what should i do?","contact the fee submission department. show your payment receipt/screenshot (if paid online) to any teacher in that department. they will verify and update it, after which your fee status will reflect on erp."
"can you tell me i made a payment, but it is not updated in erp. what should i do in detail?","contact the fee submission department. show your payment receipt/screenshot (if paid online) to any teacher in that department. they will verify and update it, after which your fee status will reflect on erp."
how can i apply for revaluation?,"visit the examination cell. usually, you need to fill out a revaluation form and pay a fee."
could you explain how can i apply for revaluation?,"visit the examination cell. usually, you need to fill out a revaluation form and pay a fee."
what guidelines should i follow regarding how can i apply for revaluation?,"visit the examination cell. usually, you need to fill out a revaluation form and pay a fee."
what are the dos and don’ts about how can i apply for revaluation?,"visit the examination cell. usually, you need to fill out a revaluation form and pay a fee."
can you tell me how can i apply for revaluation in detail?,"visit the examination cell. usually, you need to fill out a revaluation form and pay a fee."
"there are some issues in my report card, whom should i contact?","either contact hod or examination department or student records room , where report card and academic records are officially maintained. keep your supporting documents( like marksheet , admit cards or proof of internal marks ) ready when raising the issue."
"could you explain there are some issues in my report card, whom should i contact?","either contact hod or examination department or student records room , where report card and academic records are officially maintained. keep your supporting documents( like marksheet , admit cards or proof of internal marks ) ready when raising the issue."
"what guidelines should i follow regarding there are some issues in my report card, whom should i contact?","either contact hod or examination department or student records room , where report card and academic records are officially maintained. keep your supporting documents( like marksheet , admit cards or proof of internal marks ) ready when raising the issue."
